lon,lat,dist,ir,opt
263.5178,1.9732,14.533,0.4094,0.2707
76.4421,-6.3635,14.071,0.2823,0.2679
109.5272,0.4951,15.873,0.5049,0.1751
104.8425,2.2371,16.574,0.4355,0.1751
105.1721,-2.6728,16.354,0.511,0.4122
185.1244,1.8483,18.349,0.8975,0.3857
218.7161,-6.5895,20.097,0.3573,0.1772
158.4549,-7.5592,19.099,0.3961,0.1502
93.1608,3.2504,16.43,0.2948,0.3
187.2245,0.9342,18.393,0.8603,0.167
215.244,8.4375,17.327,0.3212,0.2209
117.1189,-2.2265,17.465,0.5418,0.2407
101.1364,0.8539,16.669,0.4741,0.1444
262.4426,5.4254,13.721,0.3364,0.2128
224.3873,-3.382,17.869,0.5602,0.1788
177.7664,0.4547,18.313,0.9566,0.4265
183.869,-1.6518,18.33,0.9198,0.2241
186.7646,4.0604,18.382,0.7197,0.3849
90.6416,-0.055,14.916,0.4715,0.4574
219.4432,0.0536,20.356,0.7955,0.0934
176.203,9.713,15.069,0.4471,0.3608
241.9688,5.2324,16.197,0.3587,0.2356
228.0707,0.7155,17.572,0.7352,0.2421
212.7215,3.5513,20.189,0.5612,0.3339
184.3535,-5.4701,18.337,0.7519,0.4268
139.2247,8.7346,16.742,0.2756,0.1735
190.6742,-5.163,18.497,0.5629,0.2018
227.9165,-3.2194,17.656,0.5659,0.2436
231.1314,-8.3172,17.369,0.2777,0.1458
249.0823,3.0392,16.02,0.4573,0.22
256.3845,-5.255,15.195,0.2756,0.1972
236.7406,1.3662,18.214,0.64,0.206
132.3777,-4.696,20.612,0.4683,0.2698
227.2099,5.8962,17.048,0.3851,0.184
207.6854,-0.1496,19.635,0.8401,0.3561
260.0828,-4.3846,14.719,0.3376,0.2059
138.6352,7.0227,20.794,0.3439,0.2929
250.5707,1.4012,15.12,0.6037,0.5725
221.4026,9.8011,14.935,0.2761,0.1914
250.9257,4.0497,15.246,0.3904,0.2824
180.5459,5.9659,18.306,0.6661,0.5505
121.6783,-2.4883,18.289,0.5813,0.1778
195.3521,-4.2692,18.704,0.5969,0.3064
77.6956,2.4578,14.013,0.283,0.3843
194.6286,2.7486,18.667,0.6515,0.1431
97.4996,-1.2206,16.055,0.5068,0.1486
300.9528,3.9195,13.158,0.2858,0.2334
151.056,-5.0454,19.763,0.4263,0.1146
253.3168,-0.5165,16.357,0.6564,0.478
176.9817,-0.5306,18.32,0.936,0.2158
156.1866,-2.0299,19.28,0.7979,0.1191
228.6337,-9.0939,16.086,0.2859,0.2283
237.1297,-6.7413,17.231,0.2898,0.1779
139.7412,2.8658,21.229,0.5388,0.2745
