# Star name mapping for asterisms.dat
# Format: HIP|Designation|CommonName
# Designation: Bayer (Alpha And) or Flamsteed (51 And)
# CommonName: proper name if any
# Generated from Celestia starnames.dat
# Total stars: 3293
0||Sol
88|Tau Phe|
122|Theta Oct|
145|29 Psc|
154|30 Psc|
171|85 Peg|
183|Zeta Scl|
186|31 Psc|
194|32 Psc|c Psc
301|2 Cet|
330|9 Cas|
355|3 Cet|
443|33 Psc|
476|86 Peg|
531|10 Cas|
664|5 Cet|
677|Alpha And|Alpheratz
729|87 Peg|
746|Beta Cas|Caph
761|Kappa1 Scl|
765|Epsilon Phe|
813|34 Psc|
814|Gamma3 Oct|
841|22 And|
910|6 Cet|
930|Kappa2 Scl|
950|Theta Scl|
1067|Gamma Peg|Algenib
1086|23 And|
1168|Chi Peg|
1170|7 Cet|
1196|35 Psc|
1319|36 Psc|
1366|Theta And|
1473|Sigma And|
1501|26 And|
1562|Iota Cet|Schemali
1599|Zeta Tuc|
1645|41 Psc|d Psc
1647|Pi Tuc|
1686|Rho And|
1708|Iota Scl|
1772|42 Psc|
1803|9 Cet|
1960|12 Cas|
2006|44 Psc|
2021|Beta Hyi|
2072|Kappa Phe|
2081|Alpha Phe|Ankaa
2100|10 Cet|
2210|Eta Scl|
2219|47 Psc|
2224|48 Psc|
2353|12 Cet|
2355|28 And|
2472|Lambda1 Phe|
2474|13 Cas|
2484|Beta1 Tuc|
2487|Beta2 Tuc|
2505|Lambda Cas|
2548|51 Psc|
2568|52 Psc|
2599|Kappa Cas|
2629|Theta Tuc|
2707|16 Cas|
2762|13 Cet|
2787|14 Cet|
2802|Lambda2 Phe|
2903|53 Psc|
2912|Pi And|
2920|Zeta Cas|
3031|Epsilon And|
3092|Delta And|
3093|54 Psc|
3138|55 Psc|
3179|Alpha Cas|Shedir
3231|32 And|
3245|Mu Phe|
3277|Xi Phe|
3300|Xi Cas|
3330|Rho Tuc|
3356|Lambda1 Scl|
3405|Eta Phe|
3414|Pi Cas|
3419|Beta Cet|Diphda
3455|Phi1 Cet|
3456|Lambda2 Scl|
3504|Omicron Cas|
3559|18 Cet|
3572|21 Cas|
3632|57 Psc|
3675|58 Psc|
3685|59 Psc|
3693|Zeta And|
3697|60 Psc|
3721|23 Cas|
3730|61 Psc|
3760|62 Psc|
3765||96 G Psc
3781|Lambda Hyi|
3786|Delta Psc|
3801|Nu Cas|
3810|64 Psc|
3821|Eta Cas|Achird
3881|Nu And|
3885|65 Psc|
3909|Phi2 Cet|
3949|Rho Phe|
4084|Lambda1 Tuc|
4147|20 Cet|
4257|21 Cet|
4267|66 Psc|
4288|36 And|
4292|Upsilon1 Cas|
4293|Lambda Tuc|
4366|67 Psc|k Psc
4371|Phi3 Cet|
4422|Upsilon2 Cas|
4427|Gamma Cas|Tsih
4436|Mu And|
4463|Eta And|
4510|68 Psc|h Psc
4577|Alpha Scl|
4587|Phi4 Cet|
4770|Xi Scl|
4852|Sigma Scl|
4889|Sigma Psc|
4903|39 And|
4906|Epsilon Psc|
4914|25 Cet|
4979|26 Cet|
5074|73 Psc|
5081|72 Psc|
5121|27 Cet|
5131|Psi1 Psc A|
5132|Psi1 Psc B|
5141|77 Psc B|
5144|77 Psc A|
5164|28 Cet|
5165|Beta Phe|
5204|75 Psc|
5268|Iota Tuc|
5296|30 Cet|
5300|Upsilon Phe|
5310|Psi2 Psc|
5317|41 And|
5319|78 Psc|
5336|Mu Cas|
5346|80 Psc|e Psc
5348|Zeta Phe|
5364|Eta Cet|
5434|Phi And|
5447|Beta And|Mirach
5454|Psi3 Psc|
5485|32 Cet|
5493|44 And|
5510|33 Cet|
5518|31 Cas|
5542|Theta Cas|
5544|82 Psc|g Psc
5550|45 And|
5571|Chi Psc|
5586|Tau Psc|
5589|32 Cas|
5594|34 Cet|
5737|Zeta Psc A|
5742|Phi Psc|
5743|Zeta Psc B|
5778|87 Psc|
5799|37 Cet|
5824|88 Psc|
5833|38 Cet|
5862|Nu Phe|
5896|Kappa Tuc|
5951|39 Cet|
6061|89 Psc|f Psc
6193|Upsilon Psc|
6226|42 Cet|
6242|Phi Cas|
6312|35 Cas|
6315|91 Psc|l Psc
6411|Xi And|Adhil
6429|43 Cet|
6514|47 And|
6537|Theta Cet|
6539|44 Cet|
6670|46 Cet|
6686|Delta Cas|Ruchbah
6692|Psi Cas|
6706|Rho Psc|
6732|94 Psc|
6748|47 Cet|
6813|Omega And|Omg
6867|Gamma Phe|
6960|48 Cet|
6981|97 Psc|
6999|49 And|
7007|Mu Psc|
7078|38 Cas|
7083|Delta Phe|
7097|Eta Psc|
7294|Chi Cas|
7345|49 Cet|
7436|101 Psc|
7450|50 Cet|
7463|Tau Scl|
7513|Upsilon And|
7535|Pi Psc|
7588|Alpha Eri|Achernar
7607|Upsilon Per|
7650|40 Cas|
7719|Chi And|
7740|105 Psc|
7751||p Eri
7818|Tau And|
7879|Tau1 Hyi|
7884|Nu Psc|
7955|Pi Scl|
7965|43 Cas|
7978||q1 Eri
7981|107 Psc|
8016|42 Cas|
8046|44 Cas|
8068|Phi Per|
8102|Tau Cet|
8159|109 Psc|
8198|Omicron Psc|
8209|Epsilon Scl|
8241||q2 Eri
8366|Tau2 Hyi|
8387|4 Ari|
8497|Chi Cet|
8544|1 Ari|
8645|Zeta Cet|Baten Kaitos
8704|1 Per|
8714|2 Per|
8796|Alpha Tri|Elmuthalleth
8814|55 And|
8832|Gamma1 Ari|Mesarthim
8833|Xi Psc|
8837|Psi Phe|
8882|Phi Phe|
8886|Epsilon Cas|Segin
8903|Beta Ari|Sheratan
8928|Eta2 Hyi|
8991|Sigma Hyi|
8993|7 Ari|
9007|Chi Eri|
9009|Omega Cas|
9021|56 And|
9061|56 Cet|
9110|Iota Ari|
9153|Lambda Ari|
9222|3 Per|
9236|Alpha Hyi|
9326|57 Cet|
9347|Upsilon Cet|
9353|112 Psc|
9440|Pi For|
9459|Chi Phe|
9480|48 Cas|
9487|Alpha Psc|Al Rescha
9505|4 Per|g Per
9564|52 Cas|
9570|Epsilon Tri|
9573|53 Cas|
9589|60 Cet|
9598|50 Cas|
9621|10 Ari|
9631|61 Cet|
9640|Gamma1 And|Almaak
9677|Nu For|
9727|47 Cas|
9763|49 Cas|
9836|Kappa Ari|
9859|11 Ari|
9884|Alpha Ari|Hamal
9977|58 And|
10053|14 Ari|
10064|Beta Tri|
10155|15 Ari|
10176|59 And A|
10180|59 And B|
10203|16 Ari|
10212|64 Cet|
10220|5 Tri|
10227|5 Per|
10234|63 Cet|
10280|6 Tri|
10305|66 Cet|
10306|Eta Ari|
10320|Mu For|
10324|Xi1 Cet|
10328|19 Ari|
10340|60 And|b And
10366|6 Per|
10418|Pi1 Hyi|
10438|55 Cas|
10513|Pi2 Hyi|
10535|21 Ari|
10540|20 Ari|
10559|7 Tri|
10602|Phi Eri|
10642|67 Cet|
10644|Delta Tri|
10670|Gamma Tri|
10718|8 Per|
10729|Chi Per|
10732|Theta Ari|
10793|10 Tri|
10819|62 And|c And
10826|Omicron Cet|Mira
10944|63 And|
11001|Delta Hyi|
11021|69 Cet|
11046|70 Cet|
11060|9 Per|i Per
11072|Kappa For|
11095|Kappa Hyi|
11220|64 And|
11249|Xi Ari|
11258|Lambda Hor|
11261|71 Cet|
11279|10 Per|
11313|65 And|
11345|Rho Cet|
11407|Kappa Eri|
11432|11 Tri|
11465|66 And|
11477|Phi For|
11484|Xi2 Cet|
11486|12 Tri|
11548|13 Tri|
11569|Iota Cas|
11678|26 Ari|
11698|27 Ari|
11757|Mu Hyi|
11767|Alpha UMi|Polaris
11783|Sigma Cet|
11784|14 Tri|
